Max # Rules: ,31, Avg # Producing Rules: ,6.470588, Avg # Drawing Rules: ,1.176471, Avg # Terminal Rules: ,1.176471
P2G Rule Ratio:,0.8461539
Avg # G2P Transitions:,2.4,Min # G2P Transitions:,0,Max # G2P Transitions:,24
Avg # P2G Transitions:,2.361538,Min # P2G Transitions:,0,Max # P2G Transitions:, 24
Avg # Repeated:,0.3384615,Min # G2P Transitions:,0,Max # G2P Transitions:,15

Length,# Overall, # Producing, # Graphical
00020:,False,True,False,4,1,0,1,0,0,G
00021:,False,True,False,21,19,0,16,3,0,BGE
00022:,True,False,False,34,18,8,8,2,0.4444444,BGSGSGSGSGSGSE
00023:,False,True,False,19,11,0,8,3,0,BGEBE
00024:,False,False,True,1,1,0,0,1,0,G
00025:,True,False,False,7,3,2,1,0,0.6666667,SGS
00026:,False,True,False,23,20,0,16,4,0,BGE
00027:,True,False,False,35,25,9,14,2,0.36,BGSGSEGBSGSEGBSGSE
00028:,True,False,False,16,13,4,9,0,0.3076923,GSBGSEBGSEGS
00029:,True,False,False,2,2,1,1,0,0.5,GS
00030:,True,False,False,4,4,2,2,0,0.5,SG
00031:,False,True,False,2,2,0,2,0,0,G
00032:,True,False,False,13,10,3,7,0,0.3,GSBGSEGS
00033:,True,False,False,9,8,2,6,0,0.25,GBSEGS
00034:,True,False,False,3,3,2,1,0,0.6666667,SG
00035:,True,False,False,3,3,1,2,0,0.3333333,GS
00036:,True,False,False,8,7,1,6,0,0.1428571,GBSEG
00037:,True,False,False,17,17,9,8,0,0.5294118,GSBGSEBGSEGS
00038:,False,True,False,3,2,0,2,0,0,G
00039:,True,False,False,12,12,2,9,1,0.1666667,GBSEBGSEG
00040:,False,True,False,2,1,0,1,0,0,G
00041:,True,False,False,2,2,1,1,0,0.5,SG
00042:,True,False,False,4,4,1,3,0,0.25,GS
00043:,True,False,False,12,12,3,9,0,0.25,GBSEBGSEGS
00044:,True,False,False,11,11,2,9,0,0.1818182,GBSEBGSEG
00045:,False,True,False,3,3,0,3,0,0,G
00046:,False,True,False,4,3,0,3,0,0,G
00047:,True,False,False,6,4,2,2,0,0.5,SG
00048:,True,False,False,17,14,4,10,0,0.2857143,GSBGSEBGSEGS
00049:,True,False,False,5,3,1,2,0,0.3333333,GS
00050:,False,True,False,4,4,0,4,0,0,G
00051:,True,False,False,82,54,17,37,0,0.3148148,BGSEBGSBGSEGSBGSEGSBGSEGSBGSEBGSBGSEGSBGSEGSBGSEGSBGSE
00052:,True,False,False,21,17,5,8,4,0.2941177,BGESBGES
00053:,True,False,False,22,18,5,9,4,0.2777778,BGESBGESGS
00054:,True,False,False,53,35,9,18,8,0.2571429,GBSEGBSEGBSEGBSEGBSEGBSEGSG
00055:,True,False,False,24,24,6,15,3,0.25,BGSGSGSGSGSGSGE
00056:,True,False,False,22,22,6,13,3,0.2727273,BGSGSGSGSGSGSGE
00057:,False,True,False,3,1,0,0,1,0,G
